! Voltage (Volts),Current (Amps),|Current| (Amps),ln(|Current|) (Amps)
0.46,0.0000001937592,1.937592E-7,-15.456649685969
0.48,0.0000001964597,1.964597E-7,-15.442808515729
0.5,0.0000002003109,2.003109E-7,-15.423395177383
0.52,0.0000002028625,2.028625E-7,-15.410737427304
0.54,0.0000002063484,2.063484E-7,-15.393699834594
0.56,0.0000002082006,2.082006E-7,-15.384763798925
0.58,0.0000002117704,2.117704E-7,-15.367763168031
0.6,0.0000002138464,2.138464E-7,-15.358007836645
0.62,0.0000002168601,2.168601E-7,-15.344013391775
0.64,0.0000002192051,2.192051E-7,-15.33325801572
0.66,0.0000002216646,2.216646E-7,-15.32210040831
0.68,0.0000002240461,2.240461E-7,-15.311414002695
0.7,0.0000002271382,2.271382E-7,-15.297707194142
0.72,0.0000002292667,2.292667E-7,-15.288379882225
0.74,0.0000002315262,2.315262E-7,-15.278572794878
0.76,0.0000002343747,2.343747E-7,-15.266344720223
0.78,0.0000002370891,2.370891E-7,-15.254829817095
0.8,0.0000002390797,2.390797E-7,-15.246468867801
0.82,0.0000002420225,2.420225E-7,-15.234235139905
0.84,0.0000002440518,2.440518E-7,-15.225885339103
0.86,0.0000002467193,2.467193E-7,-15.2150145838
0.88,0.000000249369,2.49369E-7,-15.204332109742
0.9,0.0000002515116,2.515116E-7,-15.19577672521
0.92,0.0000002541021,2.541021E-7,-15.185529682192
0.94,0.0000002568485,2.568485E-7,-15.174779420035
0.96,0.0000002589633,2.589633E-7,-15.166579484129
0.98,0.0000002604019,2.604019E-7,-15.161039630172
1,0.0000002634177,2.634177E-7,-15.149524851717
1.02,0.0000002667037,2.667037E-7,-15.137127532589
1.04,0.0000002686268,2.686268E-7,-15.129942781215
1.06,0.0000002713873,2.713873E-7,-15.11971888504
1.08,0.0000002749574,2.749574E-7,-15.10664966037
1.1,0.000000277162,2.77162E-7,-15.098663664165
1.12,0.0000002795726,2.795726E-7,-15.090003828528
1.14,0.0000002825379,2.825379E-7,-15.079453136066
1.16,0.0000002843047,2.843047E-7,-15.073219286594
1.18,0.0000002860418,2.860418E-7,-15.06712788296
1.2,0.0000002888139,2.888139E-7,-15.057483300892
1.22,0.0000002915401,2.915401E-7,-15.048088276294
1.24,0.0000002923127,2.923127E-7,-15.045441717261
1.26,0.0000002946157,2.946157E-7,-15.037594041738
1.28,0.0000002973219,2.973219E-7,-15.028450446689
1.3,0.0000003016424,3.016424E-7,-15.014023627139
1.32,0.0000003031974,3.031974E-7,-15.008881758413
1.34,0.000000305442,3.05442E-7,-15.00150592906
1.36,0.0000003066677,3.066677E-7,-14.997501086012
1.38,0.0000003153156,3.153156E-7,-14.96969179493
1.4,0.0000003245369,3.245369E-7,-14.940866593862
1.42,0.0000003144788,3.144788E-7,-14.972349171663
1.44,0.0000003174434,3.174434E-7,-14.962966302222
1.46,0.0000003199946,3.199946E-7,-14.954961716295
1.48,0.0000003170659,3.170659E-7,-14.964156198239
1.5,0.0000003217609,3.217609E-7,-14.94945711381
1.52,0.0000003264869,3.264869E-7,-14.934876011546
1.54,0.0000003337123,3.337123E-7,-14.912986592414
1.56,0.0000003299829,3.299829E-7,-14.92422500201
1.58,0.0000003364179,3.364179E-7,-14.9049116998
1.6,0.000000339066,3.39066E-7,-14.89707105825
1.62,0.0000003431265,3.431265E-7,-14.885166653107
1.64,0.0000003452078,3.452078E-7,-14.879119282396
1.66,0.0000003456493,3.456493E-7,-14.877841159727
1.68,0.0000003469279,3.469279E-7,-14.874148859569
1.7,0.0000003509546,3.509546E-7,-14.862608966576
1.72,0.0000003539218,3.539218E-7,-14.85418985217
1.74,0.0000003582375,3.582375E-7,-14.842069662682
1.76,0.0000003616747,3.616747E-7,-14.832520647905
1.78,0.0000003633264,3.633264E-7,-14.827964233142
1.8,0.0000003668027,3.668027E-7,-14.818441735632
1.82,0.0000003681377,3.681377E-7,-14.814808783985
1.84,0.0000003719408,3.719408E-7,-14.804531135122
1.86,0.0000003755284,3.755284E-7,-14.794931736112
1.88,0.0000003794397,3.794397E-7,-14.784570146016
1.9,0.0000003851222,3.851222E-7,-14.769705150423
1.92,0.0000003878663,3.878663E-7,-14.762605144336
1.94,0.0000003909953,3.909953E-7,-14.754570297494
1.96,0.0000003943711,3.943711E-7,-14.745973492765
1.98,0.0000003991696,3.991696E-7,-14.733879447713
2,0.0000004017776,4.017776E-7,-14.727367135249
